taxon_name_from	taxon_name_to	Match_type	Match_origin	taxon_id (if not in DynTaxa)	Note
Aphanizomenon flos-aquae	Aphanizomenon flosaquae	Exact	Dyntaxa		
Aphanizomenon issatschenkoi	Cuspidothrix issatschenkoi	exact	Worms		
Aphanothece bachmannii	Anathece bachmannii	Exact	Dyntaxa		
Aphanothece clathrata	Anathece clathrata	Exact	Dyntaxa		
Aphanothece minutissima	Anathece minutissima	Exact	Dyntaxa		
Aphrodite aculeata	Aphrodita aculeata	antag felstav			
Apocalathium malmogiense	Scrippsiella hangoei	antag felstav			
Aporrhais pespelicani	Aporrhais pespelecani	antag felstav			
Aporrhais pespelicanis	Aporrhais pespelecani	Exact	Dyntaxa		
Appendicullaria	Appendicularia	antag felstav			
Arcturella dilatata	Astacilla dilatata	Exact	Dyntaxa		
Aricidea cerutti	Aricidea cerrutii	antag felstav			
Aricidea jeffreysi	Aricidea cerrutii	Exact	Dyntaxa		
Aricidea lyra	Paradoneis lyra	Exact	Dyntaxa		
Aricidea suecica	Aricidea (Strelzovia) suecica	exact_subgenus	Worms		
Artacama proboscoidea	Artacama proboscidea	antag felstav			
Ascidella scabra	Ascidiella scabra	antag felstav			
Astacilla affinis	Astacilla intermedia	Exact	Dyntaxa		
Asterope norvegica	Prionotoleberis norvegica	exact	Worms		
Athanas nitiscens	Athanas nitescens	antag felstav			
Athecata	Anthoathecata	Exact	Dyntaxa		
Atylus swammerdami	Nototropis swammerdami	Exact	Dyntaxa		
Atylus vedlomensis	Nototropis vedlomensis	Exact	Dyntaxa		
Aulacoseira islandica ssp. helvetica	Aulacoseira islandica subsp. helvetica	Exact	Dyntaxa		
Aulacoseira islandica ssp. islandica	Aulacoseira islandica subsp. islandica	Exact	Dyntaxa		
Axinella	Phakellia	OK		1005212	
Axinella infundibuliformis / Phakellia ventilabrum	Axinella infundibuliformis/Phakellia ventilabrum	antag felstav			
Balanus improvis	Amphibalanus improvisus	antag felstav			
Balanus improvisus	Amphibalanus improvisus	exact	Worms		
Balcis devians	Vitreolina philippi sensu Warén	Exact	Dyntaxa	233612	
Balcis philippi	Vitreolina philippi sensu Warén	Exact	Dyntaxa	233612	
Bela brachystoma	Sorgenfreispira brachystoma	Exact	Dyntaxa		
Beröe cucumis	Beroe cucumis	Exact	Dyntaxa		
Bivalvia (Lamellibranchiata)	Bivalvia	antag felstav			
Bonnemaisonia hamifera / Spermothamnion repens	Bonnemaisonia hamifera/Spermothamnion repens	antag felstav			
Bosmina (Eubosmina) coregoni	Bosmina coregoni	Exact	Dyntaxa		
Bosmina coregoni longirostris	Bosmina coregoni	antag felstav			
Bosmina coregoni maritima	Bosmina longispina maritima	Exact	Dyntaxa		
Bosmina maritima	Bosmina longispina maritima	Exact	Dyntaxa		
Botryllus schlosseri / Botrylloides leachii	Botryllus schlosseri/Botrylloides leachii	antag felstav			
Branchistoma	Branchiostoma	Exact	Dyntaxa		
Buccinum undatum / Neptunea antiqua	Buccinum undatum/Neptunea antiqua	antag felstav			
Byblis gaimardi	Byblis gaimardii	Exact	Dyntaxa		
Bylgides groenlandica	Bylgides groenlandicus	Exact	Dyntaxa		
Calianassa subteranea	Callianassa subterranea	antag felstav			
Calianassa subterranea	Callianassa subterranea	Exact	Dyntaxa		
Calliannassa subteranea	Callianassa subterranea	antag felstav			
Callophyllis cristata	Euthora cristata	Exact	Dyntaxa		
Camptochironomus	Chironomus (Camptochironomus)	Exact	Dyntaxa		
Caprellidea	Caprelloidea	exact	Worms		
Cardium echinatum	Acanthocardia echinata	Exact	Dyntaxa		
Cardium minimum	Papillicardium minimum	Exact	Dyntaxa		
Cardium ovale	Parvicardium pinnulatum	Exact	Dyntaxa		
Caulleriella killariensis	Tharyx killariensis	Exact	Dyntaxa		
Caulleriella zetlandica	Chaetozone zetlandica	Exact	Dyntaxa		
Centrales	Coscinodiscophyceae				
Cephalochordata (Branchiostoma)	Branchiostoma	antag felstav			
Ceramium rubrum	Ceramium virgatum	Exact	Dyntaxa		
Ceramium strictum	Ceramium tenuicorne	Exact	Dyntaxa		
Ceratium bucephalum	Tripos bucephalus	Exact	Dyntaxa		
Ceratium furca	Tripos furca	Exact	Dyntaxa		växtplankton
Ceratium fusus	Tripos fusus	Exact	Dyntaxa		växtplankton
Ceratium horridum	Tripos horridus	Exact	Dyntaxa		växtplankton
Ceratium lineatum	Tripos lineatus	Exact	Dyntaxa		växtplankton
Ceratium longipes	Tripos longipes	Exact	Dyntaxa		växtplankton
Ceratium macroceros	Tripos macroceros	Exact	Dyntaxa		växtplankton
Ceratium minutum	Tripos minutus	Exact	Dyntaxa		växtplankton
Ceratium tripos	Tripos muelleri	Exact	Dyntaxa		växtplankton
Ceratoneis closterium	Cylindrotheca closterium	Exact	Dyntaxa		
Cercopagis (Cercopagis) pengoi	Cercopagis pengoi	antag felstav			
Cerianthus lloydiii	Cerianthus lloydii	antag felstav			
Chaetoceros didymus var. protuberans	Chaetoceros protuberans	Exact	Dyntaxa		
Chaetoceros socialis f. radians	Chaetoceros radians	exact	Worms		
Chaetoceros throndsenii v. throndseinii	Chaetoceros throndsenii var. throndsenii	antag felstav			
Chaetoceros throndsenii var, throndseinii	Chaetoceros throndsenii var. throndsenii	antag felstav			
Chaetoceros throndsenii var. Throndseinii	Chaetoceros throndsenii var. throndsenii	antag felstav			
Chaetocladius	Chaetocladus	phonetic	Worms		
Chaetodermomorpha	Caudofoveata	Exact	Dyntaxa		
Chaetogammarus marinus	Echinogammarus marinus	Exact	Dyntaxa		
Chaetomorpha melangonium	Chaetomorpha melagonium	antag felstav			
Chaetopterus frgm	Chaetopterus 	antag felstav			
Chamelea gallina	Chamelea striatula	Exact	Dyntaxa		
Chaoborus	Chaoborus (Chaoborus)	OK		251641	
Chattonella verruculosa	Pseudochattonella verruculosa	Exact	Dyntaxa		
Cheirocrathus sundevalli	Cheirocratus sundevalli	antag felstav			
Cheirocratus sundevalli	Cheirocratus sundevallii	Exact	Dyntaxa		
Chelidonichthys gurnardus	Eutrigla gurnardus	Exact	Dyntaxa		
Chironemidae	Chironomidae	antag felstav			
Chlamys septemradiatus	Pseudamussium peslutrae	Exact	Dyntaxa		
Chlorococcales	Chlamydomonadales	Exact	Dyntaxa		
Choanoflagellidea	Choanoflagellatea	Exact	Dyntaxa		
